file,sheet,row,field,raw_value,reason
2526Leads,2526Leads,2,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,2,lead_state,OPEN,Could not map to Hot/Warm/Cold
2526Leads,2526Leads,5,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,7,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,8,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,9,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,10,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,11,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,12,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,18,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,19,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,21,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,24,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,25,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,26,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,29,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,30,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,31,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,42,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,45,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,47,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,51,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,52,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,53,origin,Ma'am,Ambiguous / unrecognized source
2526Leads,2526Leads,55,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,59,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,61,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,62,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,63,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,64,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,65,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,66,course,DA with AI,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,67,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,68,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,70,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,71,course,Data Anlystics,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,72,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,73,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,75,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,76,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,77,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,79,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,81,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,82,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,83,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,88,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,90,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,92,lead_state,Open,Could not map to Hot/Warm/Cold
2526Leads,2526Leads,93,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,99,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,100,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,101,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,102,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,103,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,105,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,107,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,108,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,110,course,Full Stack.,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,111,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,112,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,116,course,Data Anakytics,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,117,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,118,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,122,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,127,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,129,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,131,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,132,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,133,lead_state,Open,Could not map to Hot/Warm/Cold
2526Leads,2526Leads,134,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,135,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,137,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,140,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,143,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,144,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,145,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,147,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,148,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,150,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,151,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,153,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,154,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,155,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,156,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,157,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,161,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,163,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,164,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,167,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,168,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,169,lead_state,Open,Could not map to Hot/Warm/Cold
2526Leads,2526Leads,172,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,173,lead_state,Open,Could not map to Hot/Warm/Cold
2526Leads,2526Leads,178,course,Dat Analytics,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,181,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,190,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,193,lead_state,Hold,Could not map to Hot/Warm/Cold
2526Leads,2526Leads,195,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,196,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,198,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,199,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,202,lead_state,OPEN,Could not map to Hot/Warm/Cold
2526Leads,2526Leads,205,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,214,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,214,origin,nan,Ambiguous / unrecognized source
2526Leads,2526Leads,214,lead_state,OPEN,Could not map to Hot/Warm/Cold
2526Leads,2526Leads,216,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,219,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,227,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,227,lead_state,OPEN,Could not map to Hot/Warm/Cold
2526Leads,2526Leads,228,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,229,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,231,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,232,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,234,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,236,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,237,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,244,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,248,course,nan,Unrecognized course spelling — kept as typed
2526Leads,2526Leads,249,course,nan,Unrecognized course spelling — kept as typed
